Name,Description,ProductType,Image,TokenWarrant,Price,Supply,Country,Brand,Cask,Style,Alcohol,Volume,BurnWindowStart,BurnWindowEnd,Status,MetadataID,Publish,Distillery,DistillerySlug,IPFSHash
Nikka Miyagikyo Peated,"Rarely distilled in Miyagikyo, it is nevertheless a heavily peated malt that has been selected to be blended with lightly peated malts. The result is a single malt with the typical character of the distillery but strongly marked by the peat.
Elegant from the beginning to the end, the peat does not appear distinctly on the nose, leaving the place to fruity notes of red and exotic fruits, and to woody notes of slightly smoked oak. On the other hand, on the palate, the peat spreads smoothly bringing to the fruity aromas some very surprising iodine and salt notes that will persist until the finish during which some bitter notes of cocoa will fly in retro olfaction.",Bottle,https://arweave.net/T-c1SVNtgLNQR1opLsiPWKOkCdVH_LIHGfkRwnreWpw,https://arweave.net/CK710c9oN6AENVTtfRowZeH4-NXRNi3xSb7BRicuM90,"532,00",2,Japan,Nikka,,Single Malt,48.0% ABV,700ml,,,Draft,,,Nikka Whisky,Nikka,
Togouchi Pure Malt,"Togouchi Pure Malt is crafted from a precise blend of single malts aged for three to nine years, with subtle notes of peat. Aged in a combination of sherry and bourbon casks, this Japanese whisky has not been coloured or chill-filtered.",Bottle,https://arweave.net/_OlHf7RJw1hZgyETirMaXwrqwfcQBX-2Y60H2xjNv8I,https://arweave.net/CK710c9oN6AENVTtfRowZeH4-NXRNi3xSb7BRicuM90,"134,90",2,Japan,Togouchi,,Blended Malt,40.0% ABV,700ml,,,Draft,,,Sakurao Distillery,Togouchi,
Bulleit Bourbon 10 Years,"Aged in charred American white oak, select Bulleit Bourbon barrels were set aside to age for 10 years. The result is a special expression of Bulleit that provides a rich, deep, incredibly smooth sipping experience.",Bottle,https://arweave.net/5AeWMIO_J2TNIFNaqnWHn2O6vyzJ9mR9RV7STukH0Tw,https://arweave.net/CK710c9oN6AENVTtfRowZeH4-NXRNi3xSb7BRicuM90,"99,90",2,United States of America,Bulleit,,Kentucky Bourbon,45.6% ABV,700ml,,,Draft,,,,,
Dunville's,"Dunville’s Irish Whiskey collaborates with global gaming franchise on Dead Island 2 Whiskey.
The limited edition release celebrates the launch of Dead Island 2, the hotly anticipated sequel to the hugely popular zombie slaying game from video game publisher Deep Silver. The whiskey’s label features two of the game’s zombie slaying characters and a unique glow-in-the-dark logo.
Dead Island 2 Dunville’s Irish Whiskey is a modern blend of pot still, malt and grain whiskeys aged in ex-bourbon casks. Boasting notes of buttery sweet vanilla, orchard fruits, baked biscuits, fresh lemon and a hint of char.",Bottle,https://arweave.net/iJtvC6JaHiJuWLkmAUxD8PFbXBkXvfehaPiPAsnbg5Y,https://arweave.net/CK710c9oN6AENVTtfRowZeH4-NXRNi3xSb7BRicuM90,"112,00",1,Ireland,Dunville's,,Blended Whiskey,40.0% ABV,700ml,,,Draft,,,,,
Demo Whisky Bottle,One Demo whisky Bottle just for testing mainnet.,Bottle,https://arweave.net/l_g2VmxpxM_InnAzHcRpwAsytV7w17_hpd2TMaX7VHg,https://arweave.net/CK710c9oN6AENVTtfRowZeH4-NXRNi3xSb7BRicuM90,"1,00",5,Mars,Demo,,Super Malt,100% ABV,700ml,,,Published,36,,,,QmQmbnKg6uw3o5eXW5WAswpNFXjjx6bQRA6nutpkNYHAty
Missing Link Lucy Cask,"Lucy Casks are our first whisky casks born out of a joint venture between expert brewers and our distillery. Aged in carefully curated new oak barrels and finished in handpicked Portuguese spirit and wine used barrels.
A unique oportunity to own the first barrels of a distillery and a batch of the genesis of Portuguese Whiskies.",Cask,https://arweave.net/EMaNrHlLALwIf5Z47IuFYY0KuNj-aLeXJwUjjWowcE4,https://arweave.net/dvYge6Xst3RONbKGbdDNzbzoIseZObD4zgw0OomQqEg,"5489,00",25,Portugal,Missing Link Distillery,First Fill Mature Brandy Cask,Single Malt,55.0% to 62.5% ABV,225L,,,Published,37,,GinT Distillery,GinT,QmUAoZs3ejRUZPwTfBg82TybLWiTNh5tB4hCtK2PMnGa2V
Broken Bones Whisky Cask (EU),"This is a unique chance to get your hands on your own Cask of Broken Bones Whisky made from 90% unpeated and 10% peated malt. Price includes 190 L of new make spirit and three years of ageing, first in Slovenian oak barrel and later in used bourbon barrel.",Cask,https://arweave.net/koWPSICbaBMN0V_bPJgPppDt-LbHOP4HUqjvcEs7Tig,https://arweave.net/NkEW9OGgS9dSJu-CmJS0ZxJqq3aDkd9F9V-3Hf4vmI4,"4270,00",3,Slovenia,Broken Bones,Oak and Bourbon Barrels,New Make,62.5% ABV,190L,,,Published,38,,Broken Bones Distillery,BrokenBones,QmQYp7gRpAr3EPXn1FCL7XSguZcUZadvT3C2opeHS8psTv
Broken Bones Whisky Cask Peated (EU),"This is a unique chance to get your hands on your Cask of Broken Bones Peated Whisky made from 100% peated malt. Price includes 190 L of new make spirit and three years of ageing, first in a Slovenian oak barrel and later in a used Islay peated whisky barrel.",Cask,https://arweave.net/Br7m5gFRkIk66P7ivrHotC7CvNavddMqRDd8Kh4nQ68,https://arweave.net/NkEW9OGgS9dSJu-CmJS0ZxJqq3aDkd9F9V-3Hf4vmI4,"4880,00",3,Slovenia,Broken Bones,Oak and Bourbon Barrels,New Make,62.5% ABV,190L,,,Published,39,,Broken Bones Distillery,BrokenBones,QmUCVUhfyJLGRgEem5YNiMqi7fGJHtAGMs4icQhAYqfizD
Broken Bones Whisky Cask Peated (Outside EU),"This is a unique chance to get your hands on your Cask of Broken Bones Peated Whisky made from 100% peated malt. Price includes 190 L of new make spirit and three years of ageing, first in a Slovenian oak barrel and later in a used Islay peated whisky barrel.",Cask,https://arweave.net/Br7m5gFRkIk66P7ivrHotC7CvNavddMqRDd8Kh4nQ68,https://arweave.net/NkEW9OGgS9dSJu-CmJS0ZxJqq3aDkd9F9V-3Hf4vmI4,"4475,90",3,Slovenia,Broken Bones,Oak and Bourbon Barrels,New Make,62.5% ABV,190L,,,Published,40,,Broken Bones Distillery,BrokenBones,QmVjBf6WA2dJP3PbyRSX8RBJT4KUe3yD3MVAamNHAk4urU
Broken Bones Whisky Cask (Outside EU),"This is a unique chance to get your hands on your own Cask of Broken Bones Whisky made from 90% unpeated and 10% peated malt. Price includes 190 L of new make spirit and three years of ageing, first in Slovenian oak barrel and later in used bourbon barrel.",Cask,https://arweave.net/koWPSICbaBMN0V_bPJgPppDt-LbHOP4HUqjvcEs7Tig,https://arweave.net/NkEW9OGgS9dSJu-CmJS0ZxJqq3aDkd9F9V-3Hf4vmI4,"3915,90",3,Slovenia,Broken Bones,Oak and Bourbon Barrels,New Make,62.5% ABV,190L,,,Published,41,,Broken Bones Distillery,BrokenBones,QmYsRgQNtzXAj2ELjCnrMuNoonTVUcEC54UAXFcM5SRqrN
Broken Bones Peated Whisky Cask Strength 6 Years (Outside EU),"Cask strength version of our peated whisky. From a selected single cask. Gently smoked, complex and elegant single malt whisky.",Bottle,https://arweave.net/x5ju_qvlL-e-7aTxm_GN6A9KWdEBmO2zr6H7qnqD2Bo,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"169,90",5,Slovenia,Broken Bones,,Single Malt,57.5% ABV,700ml,,,Published,42,,Broken Bones Distillery,BrokenBones,Qmcoh57vJUUcdTp3wfPdyopHfjZGrdYdyueEHd7o19bZcm
Broken Bones Peated Whisky Cask Strength 4 Years (Outside EU),"Cask strength version of our peated whisky. From a selected single cask. Gently smoked, complex and elegant single malt whisky.",Bottle,https://arweave.net/XYbYkhNqrxfwdxzFy5vHxRAqX94HEke0Ydw01rDw44M,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"169,90",5,Slovenia,Broken Bones,,Single Malt,56.5% ABV,700ml,,,Published,43,,Broken Bones Distillery,BrokenBones,QmTVaHhiLUqNvHhcK31SqUwkA5RgWcjV3ophYmpCeU5LBc
Broken Bones Whisky Cask Strength 3 Years (Outside EU),"Cask strength version of our flagship whisky. Aged in new Slovenian, and used American oak barrels.",Bottle,https://arweave.net/KQxjhhoRgrBA1EZ5BhfoyNl3QVarvt-ityZxbw67xrk,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"169,90",5,Slovenia,Broken Bones,,Single Malt,57.0% ABV,700ml,,,Published,44,,Broken Bones Distillery,BrokenBones,QmY2Zx5P5phqHW2EJ1Ys2L975j1kNy1PPoTq1vP4L2Jk4s
Broken Bones Peated Whisky 5 Years (Outside EU),"Broken Bones Peated Whisky is a gently smoked, complex, and elegant single malt whisky. Aged first in Slovenian oak barrels and later in used Islay peated whisky barrels.",Bottle,https://arweave.net/y0dBdHv9FHwXFuC_nBzgDSPHksR7s1CR_JnMa3KRrYE,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"119,90",5,Slovenia,Broken Bones,,Single Malt,46.0% ABV,700ml,,,Published,45,,Broken Bones Distillery,BrokenBones,Qmbj1D1EMqx6DBsSSW1emJr42T8uWJcv7mjGtCWzzTTqtJ
Broken Bones Whisky 3 Years (Outside EU),"Our flagship whisky. Delicately floral, and fruity with spicy caramel and a long finish. Aged in new Slovenian and used American oak barrels.",Bottle,https://arweave.net/qevaYdbFO2nisl98QBTicQeK9Cd9zQETgcvPSZYRsVg,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"119,90",5,Slovenia,Broken Bones,,Single Malt,46.0% ABV,700ml,,,Published,46,,Broken Bones Distillery,BrokenBones,QmUViEUehC5hRAytSDaUSMxsTivP4L9REESTYHZwivX7gN
Broken Bones Peated Whisky Cask Strength 6 Years (EU),"Cask strength version of our peated whisky. From a selected single cask. Gently smoked, complex and elegant single malt whisky.",Bottle,https://arweave.net/x5ju_qvlL-e-7aTxm_GN6A9KWdEBmO2zr6H7qnqD2Bo,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"207,90",5,Slovenia,Broken Bones,,Single Malt,57.5% ABV,700ml,,,Published,47,,Broken Bones Distillery,BrokenBones,QmTikHbNfz5ZcCqwAYCydHTTFyKF9FkC3KpAeGCUwZT9i8
Broken Bones Peated Whisky Cask Strength 4 Years (EU),"Cask strength version of our peated whisky. From a selected single cask. Gently smoked, complex and elegant single malt whisky.",Bottle,https://arweave.net/XYbYkhNqrxfwdxzFy5vHxRAqX94HEke0Ydw01rDw44M,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"207,90",5,Slovenia,Broken Bones,,Single Malt,56.5% ABV,700ml,,,Published,48,,Broken Bones Distillery,BrokenBones,QmYvU9bkxEuNr4hjHALzor5eeymg3KJqYMBNtkui3EHKGB
Broken Bones Whisky Cask Strength 3 Years (EU),"Cask strength version of our flagship whisky. Aged in new Slovenian, and used American oak barrels.",Bottle,https://arweave.net/KQxjhhoRgrBA1EZ5BhfoyNl3QVarvt-ityZxbw67xrk,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"207,90",5,Slovenia,Broken Bones,,Single Malt,57.0% ABV,700ml,,,Published,49,,Broken Bones Distillery,BrokenBones,QmZSb8jHm7GEoaw9mrTx8aiaK2XaJBkPth1ezaeJ4oxXR2
Broken Bones Peated Whisky 5 Years (EU),"Broken Bones Peated Whisky is a gently smoked, complex, and elegant single malt whisky. Aged first in Slovenian oak barrels and later in used Islay peated whisky barrels.",Bottle,https://arweave.net/y0dBdHv9FHwXFuC_nBzgDSPHksR7s1CR_JnMa3KRrYE,https://arweave.net/0XqTDusaOEepZ5kHnDztr6TmLkvBXaz4MMtXkFSCetk,"144,90",5,Slovenia,Broken Bones,,Single Malt,46.0% ABV,700ml,,,Published,50,,Broken Bones Distillery,BrokenBones,QmUCZtLCVHLNbAQDX3rqeKxggBe1HPWPnsLEdUoF1TwMdW
